bitly.link.id	ts	click.count	long.url
LVn1RI	2014-01-25 18:50:16	0	http://zxxgqkuyw.myftp.org/mpmnxekajzzthtbfke44zpxoidzvevecwg
LVmZJt	2014-01-25 18:50:16	0	http://zxxgqkuyw.myftp.org/zv9ebyqoswfxkyxss5pcdznx9ajuttcwobenwk0zzpoz
LVmZJx	2014-01-25 18:50:16	2	http://zxxgqkuyw.myftp.org/radxphvmbounarx54ztsxbbjdrcaejkxorvajtlsy
LVn1Be	2014-01-25 18:50:16	0	http://zxxgqkuyw.myftp.org/wo4tinzolxsrsk9xyykbzcliuxylnnjdairztutogkj0in9
LVmZt3	2014-01-25 18:50:15	0	http://zxxgqkuyw.myftp.org/ozyknsuz8stzpukf9e4tgsgjwigjvfyjc8qpawuez2gbkg61
LVn1Bg	2014-01-25 18:50:15	5	http://zxxgqkuyw.myftp.org/opzvwipt0lzj1enwcgzl5a8ikjywngqgnre5rti
LVmZt9	2014-01-25 18:50:15	0	http://zxxgqkuyw.myftp.org/zwjrux7zrord4snk7zyjbsa0x4xgnpqoskx7ji04gv7ax6
LVn1Bk	2014-01-25 18:50:15	0	http://zxxgqkuyw.myftp.org/vbndrwnhzmiaovizaduoxjets7ygo
LVmZtd	2014-01-25 18:50:15	0	http://zxxgqkuyw.myftp.org/ortu1anjzxz4gjxdjpkms5nrxzyscwzqnqbkctjgbe
LVn1kP	2014-01-25 18:50:14	23	http://zxxgqkuyw.myftp.org/ics2cbvchw2p965hclrzodwok4s7klssepa
LVn1B5	2014-01-25 18:50:14	0	http://zxxgqkuyw.myftp.org/v2wasvx2a7ajr5vb6zhtnvx2cnxnsojdfgoec9rscjhkzca
LVmZsZ	2014-01-25 18:50:14	3	http://zxxgqkuyw.myftp.org/8grcv074xthkroptiabnzh34akcqeazgx3kisccg6ceh
LVmZcF	2014-01-25 18:50:13	5	http://zxxgqkuyw.myftp.org/g3xn0tzyfmmr3kody4wsjxmgkgnjdyukbiq4oc2phms9hab
LVn1kA	2014-01-25 18:50:12	0	http://zxxgqkuyw.myftp.org/ahzbjmfripgttzzpzjdva8xqnfijwpxfxggt3vgblx0llxcf
LVn1Bc	2014-01-25 18:50:14	0	http://zxxgqkuyw.myftp.org/csxyrocdihexzzvtdc5umchzvfucq1g9ogy9odxbe
LVn1kG	2014-01-25 18:50:13	10	http://zxxgqkuyw.myftp.org/xro1ge3ykcbvkgeqynnqz1lvcyyj47k
LVn14c	2014-01-25 18:50:13	11	http://zxxgqkuyw.myftp.org/8kgcyjawlvxiew0uzd3wsplotjidapxitdsx
LVn1kC	2014-01-25 18:50:12	0	http://zxxgqkuyw.myftp.org/rakkgvbjaetrdzxuyr2oymvzoqqpw3uns
LVmZcD	2014-01-25 18:50:12	13	http://zxxgqkuyw.myftp.org/wh7kmur3fczfvoaeorj6edmtubci0886hklo4vjps0l6e40n
LVmZcz	2014-01-25 18:50:12	2	http://zxxgqkuyw.myftp.org/oay3zrnoiwe3o22msecpvbokk7oxkgaeozkwgbelhxf8s1
LVn14i	2014-01-25 18:50:11	0	http://zxxgqkuyw.myftp.org/xgyolyql7riz8r2f6jmrctnfxr2ge9
LVn1kw	2014-01-25 18:50:11	12	http://zxxgqkuyw.myftp.org/tddp1leuvmtnkxjgzscmqbphd4x9zc9dq8
LVn14g	2014-01-25 18:50:11	0	http://zxxgqkuyw.myftp.org/rfldiyyediczc6lilusfmrsoirck1umnkbk5y6rtuc
LVmZcw	2014-01-25 18:50:11	22	http://zxxgqkuyw.myftp.org/zugyj5jcyrmszub6ks8brvmtuspqlulgbiihzhje
LVmZcq	2014-01-25 18:50:11	35	http://zxxgqkuyw.myftp.org/ru8bkzs8zz6v3fzrkq1vjhmhgnjhevhc4ec6vwlxevtl1icd
LVmYVZ	2014-01-25 18:50:10	3	http://zxxgqkuyw.myftp.org/co3uihjjwz43qhzggmjactqzk7vjv1vspcehkmxr
LVn14e	2014-01-25 18:50:10	0	http://zxxgqkuyw.myftp.org/w61pjzpdhyxzq0hye9yj3ien2epc373
LVn0NG	2014-01-25 18:50:10	0	http://zxxgqkuyw.myftp.org/zkv9nfiqk8dslrdbovpy8qfzsbwin6uzsu0ax0b7
LVmYW5	2014-01-25 18:50:10	0	http://zxxgqkuyw.myftp.org/fqskkzdd4bpfnv9gudg9esz0sfuafxcayiffksgzz
LVmYFF	2014-01-25 18:50:09	12	http://zxxgqkuyw.myftp.org/kvs7urzpzod7hpzooirbzqbslybysej
LVn0NM	2014-01-25 18:50:09	47	http://zxxgqkuyw.myftp.org/0lbuz4ufjgaxa3h1lyi3datklhgbtgsh6bsk3jrfxueer96
